                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                 1.1654,                0.91591,                 1.3856,                 1.2295,                  1.094,                 1.3924,                0.75274,                0.70737,                0.77981,                0.51949,                  1.178,                0.99229,                 1.4155,                 1.2004,                   1.08,                 1.4061,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.1503,                0.90721,                 1.3777,                 1.2265,                 1.1035,                 1.3801,                0.74959,                0.69053,                0.78838,                0.52191,                 1.1375,                0.97266,                 1.3988,                 1.1539,                 1.1076,                 1.3824,               0.000515,               0.000515,               0.000515
                     78,                  1.132,                0.87102,                 1.3521,                 1.2034,                 1.0346,                 1.3587,                0.82547,                0.70196,                0.81604,                0.54361,                  1.138,                0.91991,                 1.3965,                 1.1457,                 1.0731,                 1.3795,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.1161,                0.87688,                 1.3423,                 1.1881,                 1.0622,                 1.3489,                0.77712,                0.70947,                0.80516,                0.53356,                 1.1583,                0.89396,                 1.3989,                 1.1632,                0.97781,                 1.3984,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.1258,                0.87114,                 1.3541,                 1.1912,                  1.039,                  1.353,                0.82431,                0.69158,                0.81332,                0.54294,                 1.1341,                0.92613,                 1.4127,                 1.1562,                0.98588,                 1.4068,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.1439,                0.88357,                 1.3684,                  1.217,                 1.0434,                 1.3762,                0.74875,                0.68421,                0.77758,                0.51995,                 1.1203,                0.97805,                 1.3826,                 1.1552,                  1.119,                 1.3867,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.1199,                0.88254,                 1.3568,                 1.1942,                 1.0713,                 1.3623,                0.77311,                0.71735,                0.80274,                0.53585,                 1.1325,                0.90461,                 1.3951,                 1.1549,                 1.0542,                 1.3907,               0.000416,               0.000416,               0.000416
                     83,                 1.1354,                0.89008,                  1.357,                 1.2157,                 1.0921,                 1.3595,                0.74891,                0.74105,                0.79901,                0.54134,                 1.1005,                0.96859,                 1.3631,                 1.1291,                 1.0723,                 1.3563,              0.0003962,              0.0003962,              0.0003962
                     84,                 1.1023,                0.84641,                  1.336,                 1.1771,                  1.025,                 1.3395,                0.76301,                0.72105,                0.80371,                0.52992,                 1.2146,                 0.9155,                 1.4578,                 1.2196,                 1.0359,                 1.4345,              0.0003764,              0.0003764,              0.0003764
                     85,                  1.123,                0.86434,                 1.3478,                 1.1939,                 1.0292,                 1.3493,                0.81366,                0.68947,                 0.8078,                 0.5343,                 1.1385,                0.90495,                 1.4155,                 1.1549,                 1.0284,                 1.3989,              0.0003566,              0.0003566,              0.0003566
                     86,                 1.0936,                0.85998,                 1.3331,                 1.1802,                 1.0397,                 1.3397,                0.77885,                0.67474,                0.78925,                 0.5218,                 1.1514,                0.97514,                  1.435,                 1.1682,                  1.129,                 1.4068,              0.0003368,              0.0003368,              0.0003368
                     87,                  1.093,                0.83701,                 1.3262,                 1.1723,                 1.0141,                 1.3259,                0.78383,                0.67579,                 0.8013,                0.53913,                 1.1249,                0.94689,                 1.3988,                 1.1566,                 1.0659,                 1.3862,               0.000317,               0.000317,               0.000317
                     88,                 1.0879,                0.85253,                  1.332,                 1.1778,                 1.0273,                 1.3377,                0.77762,                0.72512,                 0.8156,                0.55291,                 1.1135,                0.89591,                 1.3939,                 1.1427,                  1.008,                 1.3739,              0.0002972,              0.0002972,              0.0002972
                     89,                 1.0729,                 0.8344,                 1.3168,                  1.138,                0.99948,                 1.3185,                0.75474,                 0.7256,                0.79655,                0.54289,                 1.1074,                 0.9796,                 1.3825,                 1.1367,                 1.0992,                 1.3806,              0.0002774,              0.0002774,              0.0002774
                     90,                 1.0693,                0.84105,                 1.3077,                 1.1397,                0.99413,                 1.3069,                0.78246,                0.69285,                0.80886,                 0.5491,                 1.1064,                 0.9777,                 1.3836,                 1.1308,                 1.1061,                 1.3743,              0.0002576,              0.0002576,              0.0002576
                     91,                0.98133,                0.74701,                 1.2528,                 1.0544,                0.83627,                 1.2659,                0.82334,                0.67053,                0.80246,                0.54304,                  1.136,                0.88364,                 1.4155,                  1.136,                 1.0072,                 1.3865,              0.0002378,              0.0002378,              0.0002378
                     92,                 0.9743,                 0.6874,                 1.2317,                 1.0382,                0.77334,                 1.2452,                0.78049,                0.71112,                0.80518,                0.54575,                 1.1261,                0.91449,                 1.4096,                  1.132,                 1.1071,                 1.3832,               0.000218,               0.000218,               0.000218
                     93,                0.97024,                0.68384,                 1.2255,                 1.0258,                0.75774,                 1.2347,                0.75409,                0.71053,                0.80126,                0.54723,                 1.1125,                0.92991,                 1.3981,                 1.1475,                 1.0857,                 1.3951,              0.0001982,              0.0001982,              0.0001982
                     94,                0.93926,                0.68099,                 1.2133,                 1.0067,                0.76482,                 1.2274,                0.80403,                0.68947,                0.80446,                0.54354,                 1.1245,                0.94974,                 1.4026,                 1.1518,                 1.1274,                 1.3951,              0.0001784,              0.0001784,              0.0001784
                     95,                0.94043,                 0.6616,                 1.2167,                  1.005,                0.72595,                 1.2309,                0.78488,                0.70667,                0.81277,                0.55574,                 1.0768,                0.89713,                 1.3638,                 1.1144,                 1.0181,                 1.3729,              0.0001586,              0.0001586,              0.0001586
                     96,                 0.9306,                0.68765,                  1.199,                 1.0053,                0.76026,                 1.2149,                0.78235,                0.72316,                0.81191,                0.55514,                  1.077,                0.92774,                 1.3713,                 1.1249,                 1.0581,                 1.3855,              0.0001388,              0.0001388,              0.0001388
                     97,                0.94194,                0.64908,                 1.2095,                  0.999,                 0.7098,                 1.2173,                0.76466,                0.74558,                0.82043,                0.56538,                 1.0791,                  0.856,                 1.3693,                 1.1183,                0.95916,                  1.375,               0.000119,               0.000119,               0.000119
                     98,                0.91184,                  0.649,                 1.1901,                0.96799,                0.70821,                 1.1971,                0.76656,                0.72211,                0.81731,                0.56031,                 1.0806,                0.89863,                 1.3715,                 1.1291,                 1.0121,                 1.3768,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.92592,                0.64774,                 1.2048,                0.98237,                0.70985,                   1.22,                0.78803,                0.72316,                0.81994,                0.55666,                 1.0987,                0.87996,                 1.3848,                 1.1442,                 1.0022,                 1.3894,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.92227,                0.62883,                 1.2035,                0.97752,                0.68166,                 1.2124,                0.78389,                0.73684,                0.82577,                0.56636,                 1.0805,                0.86726,                 1.3775,                 1.1303,                0.96887,                 1.3849,               5.96e-05,               5.96e-05,               5.96e-05
